station,horizon,variant,comparison_class,r2,rmse_W,mae_W,skill,convex_weight_uxgb,n_eval
4,H4,"proposed (manuscript, no test access)",fair,0.956244,46.643561,32.084998,-0.060647,,2424
4,H4,"equal_average(uxgb,pers)",fair,0.949956,49.882361,33.576399,-0.213058,,2424
4,H4,[ORACLE] best_single per pair,oracle,0.958746,45.290405,30.709942,0.0,,2424
4,H4,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.959798,44.709146,30.400423,0.025503,0.22,2424
4,H8,"proposed (manuscript, no test access)",fair,0.949663,50.028081,35.583197,-0.220156,,2424
4,H8,"equal_average(uxgb,pers)",fair,0.918236,63.760477,45.009617,-0.981941,,2424
4,H8,[ORACLE] best_single per pair,oracle,0.958746,45.290405,30.709942,0.0,,2424
4,H8,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.956514,46.499312,32.585366,-0.054097,0.14,2424
4,H16,"proposed (manuscript, no test access)",fair,0.943698,52.909726,39.647996,-0.364767,,2424
4,H16,"equal_average(uxgb,pers)",fair,0.848043,86.922367,66.67228,-2.683415,,2424
4,H16,[ORACLE] best_single per pair,oracle,0.958746,45.290405,30.709942,0.0,,2424
4,H16,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.956137,46.700357,32.823967,-0.063232,0.06,2424
4,H32,"proposed (manuscript, no test access)",fair,0.942156,53.647059,40.822082,-0.402651,,2422
4,H32,"equal_average(uxgb,pers)",fair,0.757967,109.737609,89.169182,-4.869062,,2422
4,H32,[ORACLE] best_single per pair,oracle,0.958761,45.297177,30.705533,0.0,,2422
4,H32,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.957691,45.881372,31.835069,-0.02596,0.03,2422
4,H96,"proposed (manuscript, no test access)",fair,0.947026,51.376563,37.065481,-0.287126,,2418
4,H96,"equal_average(uxgb,pers)",fair,0.687242,124.835322,104.538351,-6.599168,,2418
4,H96,[ORACLE] best_single per pair,oracle,0.958843,45.28501,30.672084,0.0,,2418
4,H96,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.958809,45.303506,30.901852,-0.000817,0.01,2418
5,H1,"proposed (manuscript, no test access)",fair,0.945806,67.237769,37.925115,0.195393,,2502
5,H1,"equal_average(uxgb,pers)",fair,0.943087,68.903407,39.717041,0.155036,,2502
5,H1,[ORACLE] best_single per pair,oracle,0.938217,71.791158,42.652668,0.082726,,2502
5,H1,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.942359,69.342793,40.092491,0.144225,0.77,2502
5,H4,"proposed (manuscript, no test access)",fair,0.930416,76.188628,48.27911,-0.033088,,2502
5,H4,"equal_average(uxgb,pers)",fair,0.92587,78.638204,51.712798,-0.100586,,2502
5,H4,[ORACLE] best_single per pair,oracle,0.932645,74.958608,44.096723,0.0,,2502
5,H4,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.934598,73.863739,47.110863,0.028999,0.35,2502
5,H8,"proposed (manuscript, no test access)",fair,0.914334,84.535462,59.704631,-0.271847,,2502
5,H8,"equal_average(uxgb,pers)",fair,0.891455,95.156866,68.311406,-0.611526,,2502
5,H8,[ORACLE] best_single per pair,oracle,0.932645,74.958608,44.096723,0.0,,2502
5,H8,"[ORACLE] convex(uxgb,pers), weight fitted on test-cal half",oracle,0.929883,76.480073,50.28491,-0.041007,0.23,2502
5,H16,"proposed (manuscript, no test access)",fair,0.903397,89.748377,66.170337,-0.433123,,2501
