horizon,n,mean_skill,std_skill,min_skill,max_skill,mean_r2,mean_rmse_W,mean_uxgb_rmse_W,mean_pers_rmse_W,horizon_minutes,rmse_ratio_vs_uxgb
H1,7,0.26819,0.096899,0.161936,0.431496,0.926687,73.692481,73.893625,8.525779e+01,15,0.997278
H4,7,0.117696,0.049326,0.020888,0.1775,0.91546,80.019078,107.108617,8.525896e+01,60,0.747083
H8,7,-0.002682,0.076657,-0.133393,0.097082,0.905898,85.120483,131.986643,8.526389e+01,120,0.644917
H16,7,-0.103737,0.136108,-0.378164,0.061627,0.897539,89.148783,168.984872,8.526821e+01,240,0.527555
H32,7,-0.107336,0.091702,-0.2103,0.058038,0.896835,89.152603,201.707945,8.525361e+01,480,0.441989
H96,7,-0.154917,0.126932,-0.365583,0.035044,0.892812,90.933153,257.479509,8.512884e+01,1440,0.353167
