station,horizon,model,bias_W,rmse_W,mae_W,mae_rmse_ratio,residual_std_W,residual_skew,residual_kurtosis,residual_autocorr_lag1
4,H96,Proposed (FAME),-7.426479,64.59318,45.212438,0.699957,64.164837,0.169464,6.18105,0.258659
4,H96,Unified XGBoost,28.424322,258.549888,216.392535,0.836947,256.982689,-0.330633,-0.555331,0.945343
4,H96,Persistence,0.15181,59.312228,37.944011,0.639733,59.312034,0.664244,10.593057,0.045327
5,H1,Proposed (FAME),-1.373965,89.727794,50.059932,0.557909,89.717273,0.282321,10.886745,0.103615
5,H1,Unified XGBoost,-1.997284,92.357538,53.050151,0.5744,92.335939,-0.092842,10.644198,0.118659
5,H1,Persistence,0.166667,100.545906,55.988409,0.556844,100.545768,0.162952,13.089925,-0.19406
5,H4,Proposed (FAME),0.435381,95.289762,58.887445,0.617983,95.288767,-0.156099,7.657059,0.182881
5,H4,Unified XGBoost,9.178512,127.192331,85.810984,0.674655,126.860727,-0.155378,4.230504,0.611834
5,H4,Persistence,0.166667,100.545906,55.988409,0.556844,100.545768,0.162952,13.089925,-0.19406
5,H8,Proposed (FAME),9.907488,101.83247,68.585354,0.673512,101.349364,-0.323165,6.482487,0.198312
5,H8,Unified XGBoost,27.392948,164.017897,121.208569,0.738996,161.714245,-0.151838,1.529248,0.748252
5,H8,Persistence,0.173096,100.554936,55.993204,0.556842,100.554787,0.162756,13.087324,-0.19408
5,H16,Proposed (FAME),3.194643,105.582052,72.599709,0.687614,105.53371,-0.367107,6.008959,0.179479
5,H16,Unified XGBoost,50.41873,228.172745,176.217952,0.772301,222.532589,-0.093929,0.33286,0.85196
5,H16,Persistence,0.178329,100.564315,55.9992,0.55685,100.564157,0.16259,13.08451,-0.194098
5,H32,Proposed (FAME),-10.994456,110.655611,75.670524,0.683838,110.108066,-0.355761,5.727287,0.199466
5,H32,Unified XGBoost,14.08504,241.994482,195.320591,0.807128,241.584232,-0.375233,-0.180356,0.890258
5,H32,Persistence,0.1828,100.583541,56.0144,0.556894,100.583375,0.162433,13.078619,-0.194094
5,H96,Proposed (FAME),-17.5311,110.711876,76.399484,0.690075,109.315049,-0.46894,5.593114,0.160456
5,H96,Unified XGBoost,18.327138,299.962953,248.578257,0.828697,299.402554,-0.471595,-0.488216,0.925222
5,H96,Persistence,0.172745,99.849532,55.797595,0.558817,99.849383,0.183822,12.955329,-0.200154
6,H1,Proposed (FAME),-1.622865,101.241915,56.452682,0.557602,101.228908,-0.155923,9.329814,-0.017264
6,H1,Unified XGBoost,1.843664,102.998268,57.400551,0.557296,102.981766,-0.264884,9.617611,-0.021999
6,H1,Persistence,0.158923,115.022526,71.130451,0.618405,115.022416,-0.042189,8.6602,-0.007348
