station,horizon,regime,n,mean_irradiance_W,fame_rmse_W,fame_skill,unified_xgb_rmse_W,unified_xgb_skill,persistence_rmse_W,persistence_skill
5,H32,high,1667,697.65207,153.785119,-0.253909,298.578217,-3.726651,137.335037,0.0
5,H96,low,1669,44.118035,54.102522,-1.533616,293.139177,-73.379553,33.989681,0.0
5,H96,medium,1661,208.798916,91.85235,0.169471,205.913233,-3.173905,100.788965,0.0
5,H96,high,1660,696.663855,159.562863,-0.365622,376.368286,-6.597886,136.542118,0.0
6,H1,low,1706,89.229607,60.462104,0.186501,60.871354,0.175451,67.035469,0.0
6,H1,medium,1706,461.303486,121.307276,0.268029,123.704015,0.238819,141.788138,0.0
6,H1,high,1706,934.239595,111.259405,0.179837,113.216275,0.150732,122.853221,0.0
6,H4,low,1706,89.229607,67.66996,-0.01902,126.185234,-2.543299,67.035469,0.0
6,H4,medium,1706,461.303486,129.146669,0.170366,175.028469,-0.523834,141.788138,0.0
6,H4,high,1706,934.239595,116.488125,0.100937,166.715494,-0.84153,122.853221,0.0
6,H8,low,1706,89.229607,74.716421,-0.242289,165.818288,-5.118649,67.035469,0.0
6,H8,medium,1705,461.150741,136.022736,0.078871,206.631683,-1.125647,141.726606,0.0
6,H8,high,1706,934.17162,118.790328,0.06685,194.424604,-1.499722,122.971751,0.0
6,H16,low,1706,89.229607,78.178051,-0.360067,221.418095,-9.909803,67.035469,0.0
6,H16,medium,1705,461.150741,140.178848,0.021722,226.014704,-1.543142,141.726606,0.0
6,H16,high,1705,934.255533,124.523443,-0.024881,230.806333,-2.521005,123.002631,0.0
6,H32,low,1705,89.15068,76.650178,-0.307044,268.315236,-15.016018,67.045257,0.0
6,H32,medium,1704,460.864229,140.158081,0.021461,225.501844,-1.533041,141.686667,0.0
6,H32,high,1705,934.255533,127.771947,-0.079052,272.835804,-3.9201,123.002631,0.0
6,H96,low,1702,88.913813,87.006348,-0.688765,368.626447,-29.313798,66.952426,0.0
6,H96,medium,1701,460.12564,138.216054,0.048466,231.288487,-1.664498,141.69233,0.0
6,H96,high,1701,934.486488,125.765272,-0.044232,334.144464,-6.371302,123.072824,0.0
7,H1,low,1606,101.340347,67.122202,-0.074614,67.515714,-0.087251,64.750025,0.0
7,H1,medium,1606,349.590285,122.12718,0.148987,117.994202,0.205611,132.386639,0.0
