source,band,period_h,psd
saved_whole_series,cA3,0.5,2.5326881916028694e-19
saved_whole_series,cA3,0.5096465362138136,1.437520715373644e-11
saved_whole_series,cA3,0.5194791837494761,6.479749452083024e-08
saved_whole_series,cA3,0.5295015332661994,7.080267549608838e-08
saved_whole_series,cA3,0.539717244698044,2.09144098858223e-07
saved_whole_series,cA3,0.5501300485904428,9.284894084381957e-07
saved_whole_series,cA3,0.5607437474625123,1.2471473256033764e-06
saved_whole_series,cA3,0.5715622171956457,3.0465933136337322e-06
saved_whole_series,cA3,0.5825894084488966,3.768535669772555e-06
saved_whole_series,cA3,0.5938293481016697,1.1253129779038861e-05
saved_whole_series,cA3,0.6052861407242459,6.660307723723287e-06
saved_whole_series,cA3,0.6169639700766778,2.0057850707435587e-06
saved_whole_series,cA3,0.6288671006366037,1.3795047238504923e-05
saved_whole_series,cA3,0.6409998791565376,1.3220914327674346e-07
saved_whole_series,cA3,0.653366736251205,1.0907360979027273e-09
saved_whole_series,cA3,0.665972188015502,1.697218379422241e-16
saved_whole_series,cA3,0.6788208376736705,6.94651608074395e-10
saved_whole_series,cA3,0.6919173772602912,1.0329907905575331e-07
saved_whole_series,cA3,0.705266589333708,3.7140903686349134e-05
saved_whole_series,cA3,0.7188733487225089,2.5050914920370757e-05
saved_whole_series,cA3,0.7327426243057032,1.682151403985162e-05
saved_whole_series,cA3,0.7468794808272429,7.433457919979233e-05
saved_whole_series,cA3,0.7612890807455516,6.814654320612236e-05
saved_whole_series,cA3,0.7759766861187373,6.634004001851177e-05
saved_whole_series,cA3,0.7909476605261763,5.370969307406082e-05
saved_whole_series,cA3,0.8062074710271702,6.233560363992235e-05
saved_whole_series,cA3,0.8217616901573916,4.088361008043435e-05
saved_whole_series,cA3,0.8376159979638477,4.864065106601671e-05
saved_whole_series,cA3,0.8537761840791034,3.275117631757426e-05
saved_whole_series,cA3,0.8702481498355248,1.3268920053396326e-05
saved_whole_series,cA3,0.8870379104203103,3.149610265694497e-06
saved_whole_series,cA3,0.9041515970721005,9.862336171914558e-06
saved_whole_series,cA3,0.9215954593199674,1.0310109333144802e-05
saved_whole_series,cA3,0.9393758672656,1.532010312523182e-07
saved_whole_series,cA3,0.9574993139095204,6.639370568150548e-09
saved_whole_series,cA3,0.9759724175221802,1.1803659801319077e-10
saved_whole_series,cA3,0.9948019240608021,2.005914917211028e-15
saved_whole_series,cA3,1.0139947096328503,2.293382131765678e-12
saved_whole_series,cA3,1.0335577830070277,7.879264992232811e-10
saved_whole_series,cA3,1.0534982881727202,2.0845436240383268e-08
saved_whole_series,cA3,1.073823506948818,5.073468536419579e-06
saved_whole_series,cA3,1.0945408616428702,1.878150102407929e-05
saved_whole_series,cA3,1.1156579177615438,1.0976901978527929e-05
saved_whole_series,cA3,1.137182386773373,6.221331743829059e-06
saved_whole_series,cA3,1.159122128924814,1.7744470996409566e-05
saved_whole_series,cA3,1.1814851561106259,4.4522290228708814e-05
saved_whole_series,cA3,1.2042796347996347,0.00010754733919678106
saved_whole_series,cA3,1.2275138890169406,0.00017866400755186653
saved_whole_series,cA3,1.251196403383663,0.00015137363067564732
saved_whole_series,cA3,1.2753358262153307,0.00018107115474184994
saved_whole_series,cA3,1.2999409726800508,0.00021291778284878552
saved_whole_series,cA3,1.3250208280176075,0.0002889979411888716
saved_whole_series,cA3,1.3505845508206658,0.00047351371051923856
saved_whole_series,cA3,1.3766414763792836,0.0005153719261917555
saved_whole_series,cA3,1.4032011200899448,0.0007039912899298828
saved_whole_series,cA3,1.4302731809303677,0.0006333031280172163
saved_whole_series,cA3,1.4578675450013503,0.0009457744133294729
saved_whole_series,cA3,1.4859942891369484,0.001085429484314806
saved_whole_series,cA3,1.5146636845843082,0.0008144272348061619
saved_whole_series,cA3,1.54388620075449,0.0006668305760066081
saved_whole_series,cA3,1.573672509045661,0.0003123340286876901
saved_whole_series,cA3,1.6040334867400448,0.0002440214684213377
saved_whole_series,cA3,1.63498022097606,0.00047646434829108934
saved_whole_series,cA3,1.6665240127970893,0.0009271966132892148
saved_whole_series,cA3,1.6986763812783636,0.0013215437673129132
saved_whole_series,cA3,1.7314490677334669,0.0013937438834988063
saved_whole_series,cA3,1.7648540400019963,8.637574859022233e-05
saved_whole_series,cA3,1.7989034968199455,6.728248736625496e-06
saved_whole_series,cA3,1.8336098722744048,1.5100202765595525e-06
saved_whole_series,cA3,1.8689858403442072,2.809662372490747e-07
saved_whole_series,cA3,1.9050443195281779,2.8460778503802787e-08
saved_whole_series,cA3,1.9417984775626749,7.802629074000123e-10
saved_whole_series,cA3,1.979261736230148,5.205652961323227e-13
saved_whole_series,cA3,2.017447776260468,1.7308272616721358e-13
saved_whole_series,cA3,2.056370542326817,5.770437967153711e-10
saved_whole_series,cA3,2.0960442481379675,2.072388641578634e-08
saved_whole_series,cA3,2.1364833816288047,1.8272611295508497e-07
saved_whole_series,cA3,2.1777027102509914,1.0027150172840573e-06
saved_whole_series,cA3,2.2197172863657038,4.781659739671071e-06
saved_whole_series,cA3,2.262542452740414,2.3302440286851643e-05
saved_whole_series,cA3,2.306193848151716,0.00010978537645584819
saved_whole_series,cA3,2.3506874130962556,0.0022624058811721126
saved_whole_series,cA3,2.3960393956118335,0.0037540288674177053
saved_whole_series,cA3,2.442266357210821,0.005272271761134422
saved_whole_series,cA3,2.4893851789280466,0.0061814368332986395
saved_whole_series,cA3,2.5374130674853674,0.00460073553712231
saved_whole_series,cA3,2.5863675615751704,0.0018324908609104107
saved_whole_series,cA3,2.6362665382651063,0.001304357701647587
saved_whole_series,cA3,2.687128219526386,0.0015978054705135135
saved_whole_series,cA3,2.7389711788880295,0.0022049218967427025
saved_whole_series,cA3,2.7918143482195,0.0033243983080373483
saved_whole_series,cA3,2.845677024644188,0.0072991685834807515
saved_whole_series,cA3,2.900578877586283,0.008284730825106201
saved_whole_series,cA3,2.956539955953601,0.014521573583949994
saved_whole_series,cA3,3.013580695458988,0.01096054239217053
saved_whole_series,cA3,3.0717219260829776,0.01230216541385766
saved_whole_series,cA3,3.130984879680427,0.01648281473019855
saved_whole_series,cA3,3.191391197733908,0.01559702704534737
saved_whole_series,cA3,3.2529629392566797,0.02407930763052919
saved_whole_series,cA3,3.3157225888481467,0.017863879006916016
