station,H1,H4,H8,H16,H32,H96
1,0.3446,0.1538,-0.1334,-0.3782,-0.1639,-0.3656
2,0.3108,0.1247,0.0612,-0.0505,-0.0821,-0.1055
4,0.1996,0.0209,-0.0466,-0.1358,-0.1832,-0.186
5,0.2036,0.1018,-0.0256,-0.1023,-0.2103,-0.2294
6,0.2253,0.1225,0.0379,-0.0393,-0.0541,-0.0702
7,0.1619,0.1227,0.0971,0.0616,0.058,0.035
8,0.4315,0.1775,-0.0094,-0.0818,-0.1158,-0.1628
