model,nominal_pct,horizon,mean_empirical_pct,mean_width_W,mean_calibration_error_pp,mean_winkler_W
Persistence,9.000000e+01,H1,9.300230e+01,279.3924,3.002300e+00,375.4344
Persistence,9.000000e+01,H16,9.299950e+01,279.5343,2.999500e+00,375.5897
Persistence,9.000000e+01,H32,9.299650e+01,279.5343,2.996500e+00,375.6301
Persistence,9.000000e+01,H4,9.300200e+01,279.3924,3.002000e+00,375.4368
Persistence,9.000000e+01,H8,9.300160e+01,279.5829,3.001600e+00,375.5711
Persistence,9.000000e+01,H96,9.293970e+01,278.8752,2.939700e+00,374.9865
Proposed (FAME),9.000000e+01,H1,9.367460e+01,263.847,3.674600e+00,343.7974
Proposed (FAME),9.000000e+01,H16,9.282450e+01,293.7758,2.824500e+00,376.1053
Proposed (FAME),9.000000e+01,H32,9.281920e+01,292.2517,2.819200e+00,374.2864
Proposed (FAME),9.000000e+01,H4,9.363300e+01,279.784,3.633000e+00,356.8914
Proposed (FAME),9.000000e+01,H8,9.317910e+01,292.8365,3.179100e+00,370.3098
Proposed (FAME),9.000000e+01,H96,9.417920e+01,304.4432,4.179200e+00,375.5074
Unified XGBoost,9.000000e+01,H1,9.332600e+01,262.9239,3.326000e+00,346.1133
Unified XGBoost,9.000000e+01,H16,9.149070e+01,596.1817,1.490700e+00,734.9518
Unified XGBoost,9.000000e+01,H32,9.278170e+01,705.6874,2.781700e+00,820.2257
Unified XGBoost,9.000000e+01,H4,9.261410e+01,388.2762,2.614100e+00,499.1836
Unified XGBoost,9.000000e+01,H8,9.152380e+01,467.1688,1.523800e+00,598.3949
Unified XGBoost,9.000000e+01,H96,9.366020e+01,875.4319,3.660200e+00,978.589
