station,horizon,model,nominal_pct,empirical_pct,width_W_m2,calibration_error_pp,status,width_per_sigma,winkler_score_W,cwc,sigma_y_W,n_calibration,n_evaluation
2,H1,Persistence,9.500000e+01,9.204910e+01,196.36,-2.950900e+00,under-covered,8.927000e-01,392.6265,4.7964,219.9685,2528,2528
2,H4,Proposed (FAME),9.000000e+01,8.469150e+01,122.1342,-5.308500e+00,under-covered,5.552000e-01,277.5295,8.4477,219.9685,2528,2528
2,H4,Proposed (FAME),9.500000e+01,9.260280e+01,198.8632,-2.397200e+00,under-covered,9.041000e-01,344.9679,3.9013,219.9685,2528,2528
2,H4,Unified XGBoost,9.000000e+01,8.037970e+01,144.3543,-9.620300e+00,under-covered,6.562000e-01,388.8401,81.2091,219.9685,2528,2528
2,H4,Unified XGBoost,9.500000e+01,9.276110e+01,270.2432,-2.238900e+00,under-covered,1.228600e+00,454.2999,4.9919,219.9685,2528,2528
2,H4,Persistence,9.000000e+01,8.571990e+01,120.8,-4.280100e+00,under-covered,5.492000e-01,298.0913,5.2169,219.9685,2528,2528
2,H4,Persistence,9.500000e+01,9.204910e+01,196.36,-2.950900e+00,under-covered,8.927000e-01,392.6265,4.7964,219.9685,2528,2528
2,H8,Proposed (FAME),9.000000e+01,8.453320e+01,130.5718,-5.466800e+00,under-covered,5.936000e-01,285.5629,9.7265,219.9567,2527,2528
2,H8,Proposed (FAME),9.500000e+01,9.161390e+01,191.9838,-3.386100e+00,under-covered,8.728000e-01,364.1173,5.6175,219.9567,2527,2528
2,H8,Unified XGBoost,9.000000e+01,7.828320e+01,183.2371,-1.171680e+01,under-covered,8.331000e-01,468.0289,292.536,219.9567,2527,2528
2,H8,Unified XGBoost,9.500000e+01,9.070410e+01,295.7014,-4.295900e+00,under-covered,1.344400e+00,537.1207,12.8618,219.9567,2527,2528
2,H8,Persistence,9.000000e+01,8.571990e+01,120.8,-4.280100e+00,under-covered,5.492000e-01,298.0913,5.2172,219.9567,2527,2528
2,H8,Persistence,9.500000e+01,9.204910e+01,196.36,-2.950900e+00,under-covered,8.927000e-01,392.6265,4.7967,219.9567,2527,2528
2,H16,Proposed (FAME),9.000000e+01,8.599130e+01,141.4036,-4.008700e+00,under-covered,6.429000e-01,288.0761,5.4143,219.9378,2527,2527
2,H16,Proposed (FAME),9.500000e+01,9.204590e+01,196.6467,-2.954100e+00,under-covered,8.941000e-01,374.7245,4.8103,219.9378,2527,2527
2,H16,Unified XGBoost,9.000000e+01,8.425010e+01,269.783,-5.749900e+00,under-covered,1.226600e+00,480.5241,22.9682,219.9378,2527,2527
2,H16,Unified XGBoost,9.500000e+01,9.125450e+01,355.9184,-3.745500e+00,under-covered,1.618300e+00,572.9467,12.1472,219.9378,2527,2527
2,H16,Persistence,9.000000e+01,8.571430e+01,120.8,-4.285700e+00,under-covered,5.492000e-01,298.1615,5.2309,219.9378,2527,2527
2,H16,Persistence,9.500000e+01,9.204590e+01,196.36,-2.954100e+00,under-covered,8.928000e-01,392.7041,4.8032,219.9378,2527,2527
2,H32,Proposed (FAME),9.000000e+01,8.574820e+01,136.1434,-4.251800e+00,under-covered,6.191000e-01,292.3312,5.8077,219.8932,2526,2526
2,H32,Proposed (FAME),9.500000e+01,9.224070e+01,198.7389,-2.759300e+00,under-covered,9.038000e-01,379.8106,4.4951,219.8932,2526,2526
2,H32,Unified XGBoost,9.000000e+01,8.915280e+01,340.6177,-8.472000e-01,under-covered,1.549000e+00,475.6943,3.915,219.8932,2526,2526
2,H32,Unified XGBoost,9.500000e+01,9.453680e+01,430.0863,-4.632000e-01,under-covered,1.955900e+00,558.8791,4.4215,219.8932,2526,2526
2,H32,Persistence,9.000000e+01,8.570860e+01,120.8,-4.291400e+00,under-covered,5.494000e-01,298.2317,5.2452,219.8932,2526,2526
2,H32,Persistence,9.500000e+01,9.204280e+01,196.36,-2.957200e+00,under-covered,8.930000e-01,392.7819,4.8104,219.8932,2526,2526
2,H96,Proposed (FAME),9.000000e+01,8.960730e+01,155.3536,-3.927000e-01,under-covered,7.062000e-01,278.0978,1.5657,219.97,2521,2521
2,H96,Proposed (FAME),9.500000e+01,9.321700e+01,211.3578,-1.783000e+00,under-covered,9.608000e-01,363.2363,3.3042,219.97,2521,2521
2,H96,Unified XGBoost,9.000000e+01,9.345500e+01,568.2659,3.455000e+00,over-covered,2.583400e+00,642.3117,2.5834,219.97,2521,2521
2,H96,Unified XGBoost,9.500000e+01,9.678700e+01,663.7729,1.787000e+00,over-covered,3.017600e+00,724.6791,3.0176,219.97,2521,2521
2,H96,Persistence,9.000000e+01,8.583900e+01,121.48,-4.161000e+00,under-covered,5.523000e-01,295.9326,4.9751,219.97,2521,2521
2,H96,Persistence,9.500000e+01,9.218560e+01,198.7,-2.814400e+00,under-covered,9.033000e-01,388.3006,4.5928,219.97,2521,2521
4,H1,Proposed (FAME),9.000000e+01,9.657730e+01,199.707,6.577300e+00,over-covered,8.111000e-01,229.5806,0.8111,246.2227,2424,2425
4,H1,Proposed (FAME),9.500000e+01,9.905150e+01,292.4427,4.051500e+00,over-covered,1.187700e+00,315.576,1.1877,246.2227,2424,2425
4,H1,Unified XGBoost,9.000000e+01,9.657730e+01,196.3537,6.577300e+00,over-covered,7.975000e-01,229.1699,0.7975,246.2227,2424,2425
4,H1,Unified XGBoost,9.500000e+01,9.896910e+01,294.8987,3.969100e+00,over-covered,1.197700e+00,317.338,1.1977,246.2227,2424,2425
4,H1,Persistence,9.000000e+01,9.575260e+01,196.8,5.752600e+00,over-covered,7.993000e-01,237.3971,0.7993,246.2227,2424,2425
4,H1,Persistence,9.500000e+01,9.901030e+01,316.8,4.010300e+00,over-covered,1.286600e+00,342.5534,1.2866,246.2227,2424,2425
4,H4,Proposed (FAME),9.000000e+01,9.612210e+01,205.3725,6.122100e+00,over-covered,8.340000e-01,241.9395,0.834,246.2418,2424,2424
4,H4,Proposed (FAME),9.500000e+01,9.839110e+01,293.523,3.391100e+00,over-covered,1.192000e+00,323.196,1.192,246.2418,2424,2424
4,H4,Unified XGBoost,9.000000e+01,9.554460e+01,332.8,5.544600e+00,over-covered,1.351500e+00,386.135,1.3515,246.2418,2424,2424
4,H4,Unified XGBoost,9.500000e+01,9.834980e+01,454.1224,3.349800e+00,over-covered,1.844200e+00,494.8084,1.8442,246.2418,2424,2424
4,H4,Persistence,9.000000e+01,9.575080e+01,196.8,5.750800e+00,over-covered,7.992000e-01,237.4139,0.7992,246.2418,2424,2424
4,H4,Persistence,9.500000e+01,9.900990e+01,316.8,4.009900e+00,over-covered,1.286500e+00,342.564,1.2865,246.2418,2424,2424
